2026-01-29 17:56:19,670 - IngestionAgent - INFO - IngestionAgent initialized
2026-01-29 17:56:19,672 - IngestionAgent - INFO - Starting event ingestion...
2026-01-29 17:56:29,807 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2557.07, category=A
2026-01-29 17:56:29,875 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3012.19, category=X
2026-01-29 17:56:29,981 - IngestionAgent - INFO - Processed 300 events
2026-01-29 17:56:30,356 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3093.72, category=C
2026-01-29 17:56:30,859 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2422.85, category=A
2026-01-29 17:56:31,003 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2057.91, category=B
2026-01-29 17:56:31,102 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1647.47, category=C
2026-01-29 17:56:31,143 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2190.14, category=C
2026-01-29 17:56:31,394 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2544.11, category=B
2026-01-29 17:56:31,653 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2988.16, category=A
2026-01-29 17:56:31,734 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2171.26, category=A
2026-01-29 17:56:31,935 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2345.46, category=X
2026-01-29 17:56:31,987 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3041.51, category=X
2026-01-29 17:56:32,035 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1599.74, category=B
2026-01-29 17:56:32,099 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3196.94, category=X
2026-01-29 17:56:32,218 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1784.78, category=X
2026-01-29 17:56:32,581 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1683.63, category=A
2026-01-29 17:56:32,620 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2572.72, category=X
2026-01-29 17:56:33,087 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1994.79, category=B
2026-01-29 17:56:33,186 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3475.38, category=B
2026-01-29 17:56:33,276 - IngestionAgent - INFO - Processed 400 events
2026-01-29 17:56:33,353 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2216.00, category=A
2026-01-29 17:56:33,617 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3369.46, category=B
2026-01-29 17:56:34,052 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2125.57, category=A
2026-01-29 17:56:34,065 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2481.48, category=C
2026-01-29 17:56:34,102 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2710.25, category=A
2026-01-29 17:56:34,139 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2344.74, category=A
2026-01-29 17:56:34,164 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3501.87, category=C
2026-01-29 17:56:34,225 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3237.42, category=B
2026-01-29 17:56:34,483 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3758.73, category=B
2026-01-29 17:56:34,545 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3341.60, category=A
2026-01-29 17:56:34,687 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3594.94, category=X
2026-01-29 17:56:34,803 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3674.67, category=A
2026-01-29 17:56:34,885 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3314.07, category=B
2026-01-29 17:56:35,049 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2789.96, category=X
2026-01-29 17:56:35,302 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1831.62, category=B
2026-01-29 17:56:35,458 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3060.85, category=B
2026-01-29 17:56:35,515 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3106.85, category=A
2026-01-29 17:56:35,712 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2309.45, category=B
2026-01-29 17:56:35,760 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2422.31, category=B
2026-01-29 17:56:35,827 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3053.78, category=X
2026-01-29 17:56:35,937 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1944.61, category=B
2026-01-29 17:56:35,986 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2776.59, category=C
2026-01-29 17:56:36,044 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1965.37, category=B
2026-01-29 17:56:36,270 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2131.34, category=C
2026-01-29 17:56:36,394 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3301.66, category=A
2026-01-29 17:56:36,451 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3273.77, category=B
2026-01-29 17:56:36,453 - IngestionAgent - INFO - Processed 500 events
2026-01-29 17:56:36,627 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3674.52, category=C
2026-01-29 17:56:36,831 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2173.22, category=B
2026-01-29 17:56:36,861 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2944.28, category=A
2026-01-29 17:56:37,294 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3335.10, category=B
2026-01-29 17:56:37,957 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3906.12, category=X
2026-01-29 17:56:38,204 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2467.21, category=C
2026-01-29 17:56:38,719 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2529.29, category=A
2026-01-29 17:56:38,749 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3133.16, category=X
2026-01-29 17:56:38,911 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3274.32, category=C
2026-01-29 17:56:39,199 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3601.76, category=X
2026-01-29 17:56:39,233 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2869.03, category=A
2026-01-29 17:56:39,390 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3864.16, category=A
2026-01-29 17:56:39,523 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2952.65, category=C
2026-01-29 17:56:39,734 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2892.60, category=X
2026-01-29 17:56:39,843 - IngestionAgent - INFO - Processed 600 events
2026-01-29 17:56:39,992 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3185.23, category=B
2026-01-29 17:56:40,750 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2690.07, category=X
2026-01-29 17:56:40,787 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3502.52, category=A
2026-01-29 17:56:41,090 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2438.24, category=X
2026-01-29 17:56:41,129 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2138.57, category=C
2026-01-29 17:56:41,358 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2930.15, category=A
2026-01-29 17:56:41,381 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2236.89, category=C
2026-01-29 17:56:41,489 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3483.31, category=B
2026-01-29 17:56:41,557 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2898.98, category=X
2026-01-29 17:56:41,709 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3876.76, category=X
2026-01-29 17:56:41,732 - IngestionAgent - WARNING - Injecting Performance Drop Feedback
2026-01-29 17:56:41,884 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4339.33, category=A
2026-01-29 17:56:41,992 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2466.51, category=B
2026-01-29 17:56:42,030 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2327.85, category=B
2026-01-29 17:56:42,084 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2164.23, category=B
2026-01-29 17:56:42,139 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2861.02, category=C
2026-01-29 17:56:42,194 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4018.18, category=B
2026-01-29 17:56:42,347 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2743.81, category=C
2026-01-29 17:56:42,396 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4375.56, category=C
2026-01-29 17:56:42,856 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3297.62, category=B
2026-01-29 17:56:43,029 - IngestionAgent - INFO - Processed 700 events
2026-01-29 17:56:43,192 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3034.69, category=X
2026-01-29 17:56:43,222 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4014.93, category=C
2026-01-29 17:56:43,307 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2511.22, category=A
2026-01-29 17:56:43,492 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4536.85, category=A
2026-01-29 17:56:43,547 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3258.23, category=C
2026-01-29 17:56:43,734 - IngestionAgent - WARNING - Injecting Performance Drop Feedback
2026-01-29 17:56:44,082 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4568.69, category=A
2026-01-29 17:56:44,170 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4574.00, category=B
2026-01-29 17:56:44,223 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3088.58, category=A
2026-01-29 17:56:44,480 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4565.70, category=A
2026-01-29 17:56:44,621 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3684.85, category=B
2026-01-29 17:56:44,850 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4515.57, category=C
2026-01-29 17:56:45,136 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3042.41, category=B
2026-01-29 17:56:45,215 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4142.39, category=B
2026-01-29 17:56:45,237 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4834.53, category=C
2026-01-29 17:56:45,329 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4580.60, category=X
2026-01-29 17:56:45,432 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3437.11, category=C
2026-01-29 17:56:45,700 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2730.58, category=C
2026-01-29 17:56:45,737 - IngestionAgent - WARNING - Injecting Performance Drop Feedback
2026-01-29 17:56:45,757 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3810.26, category=C
2026-01-29 17:56:45,853 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3387.83, category=A
2026-01-29 17:56:46,107 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4941.31, category=C
2026-01-29 17:56:46,485 - IngestionAgent - INFO - Processed 800 events
2026-01-29 17:56:46,501 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2386.32, category=C
2026-01-29 17:56:46,558 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3779.96, category=C
2026-01-29 17:56:46,604 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2500.97, category=B
2026-01-29 17:56:46,724 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5014.07, category=A
2026-01-29 17:56:46,882 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4546.09, category=C
2026-01-29 17:56:47,206 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4151.06, category=A
2026-01-29 17:56:47,570 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3266.09, category=C
2026-01-29 17:56:47,592 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4916.44, category=X
2026-01-29 17:56:47,700 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5049.45, category=B
2026-01-29 17:56:47,738 - IngestionAgent - WARNING - Injecting Performance Drop Feedback
2026-01-29 17:56:47,752 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3426.62, category=B
2026-01-29 17:56:47,783 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3366.28, category=C
2026-01-29 17:56:48,151 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3254.16, category=C
2026-01-29 17:56:48,188 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2855.54, category=X
2026-01-29 17:56:48,222 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4482.66, category=A
2026-01-29 17:56:48,432 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3237.54, category=B
2026-01-29 17:56:48,481 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2783.28, category=B
2026-01-29 17:56:48,584 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4832.01, category=A
2026-01-29 17:56:48,656 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2667.48, category=B
2026-01-29 17:56:49,047 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5305.55, category=C
2026-01-29 17:56:49,114 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3424.74, category=C
2026-01-29 17:56:49,400 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4813.48, category=A
2026-01-29 17:56:49,461 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4462.65, category=A
2026-01-29 17:56:49,480 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4473.44, category=X
2026-01-29 17:56:49,526 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3722.02, category=X
2026-01-29 17:56:49,692 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2903.69, category=C
2026-01-29 17:56:49,694 - IngestionAgent - INFO - Processed 900 events
2026-01-29 17:56:50,031 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2909.19, category=B
2026-01-29 17:56:50,058 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3499.69, category=B
2026-01-29 17:56:50,181 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5351.85, category=X
2026-01-29 17:56:50,231 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5145.33, category=A
2026-01-29 17:56:50,519 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5218.28, category=B
2026-01-29 17:56:50,646 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5304.49, category=C
2026-01-29 17:56:50,774 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4826.56, category=A
2026-01-29 17:56:51,147 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3846.90, category=A
2026-01-29 17:56:51,189 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4678.39, category=C
2026-01-29 17:56:51,254 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3590.13, category=B
2026-01-29 17:56:51,344 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3188.07, category=A
2026-01-29 17:56:52,178 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3346.28, category=B
2026-01-29 17:56:52,335 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4081.54, category=X
2026-01-29 17:56:52,470 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3238.09, category=X
2026-01-29 17:56:52,584 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2915.78, category=B
2026-01-29 17:56:52,640 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4497.07, category=C
2026-01-29 17:56:52,804 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3451.62, category=B
2026-01-29 17:56:52,828 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3244.19, category=A
2026-01-29 17:56:53,080 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4103.62, category=C
2026-01-29 17:56:53,150 - IngestionAgent - INFO - Processed 1000 events
2026-01-29 17:56:53,210 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4919.86, category=C
2026-01-29 17:56:53,473 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3882.12, category=B
2026-01-29 17:56:53,567 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4369.71, category=X
2026-01-29 17:56:53,854 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5562.94, category=C
2026-01-29 17:56:53,917 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4024.62, category=A
2026-01-29 17:56:53,960 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3621.41, category=B
2026-01-29 17:56:54,098 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4914.09, category=X
2026-01-29 17:56:54,112 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5979.45, category=X
2026-01-29 17:56:54,164 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5489.43, category=C
2026-01-29 17:56:54,330 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2797.33, category=C
2026-01-29 17:56:54,516 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3601.10, category=B
2026-01-29 17:56:54,547 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=6152.34, category=A
2026-01-29 17:56:54,602 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4335.20, category=A
2026-01-29 17:56:54,624 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=6057.72, category=X
2026-01-29 17:56:55,159 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3807.69, category=C
2026-01-29 17:56:55,206 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4390.47, category=C
2026-01-29 17:56:55,299 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5654.21, category=B
2026-01-29 17:56:55,399 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5941.33, category=B
2026-01-29 17:56:55,474 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3400.99, category=C
2026-01-29 17:56:55,690 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=6187.92, category=B
2026-01-29 17:56:55,799 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5394.54, category=C
2026-01-29 17:56:55,853 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4653.42, category=X
2026-01-29 17:56:56,020 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3185.68, category=A
2026-01-29 17:56:56,406 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=6175.84, category=X
2026-01-29 17:56:56,443 - IngestionAgent - INFO - Processed 1100 events
2026-01-29 17:56:56,498 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4926.24, category=A
2026-01-29 17:56:56,585 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5102.39, category=B
2026-01-29 17:56:56,602 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3202.06, category=A
2026-01-29 17:56:56,680 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=6011.02, category=C
2026-01-29 17:56:56,791 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5593.48, category=C
2026-01-29 17:56:56,922 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3837.32, category=A
2026-01-29 17:56:56,956 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4498.72, category=C
2026-01-29 17:56:56,981 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4382.43, category=A
2026-01-29 17:56:57,006 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5694.69, category=C
2026-01-29 17:56:57,185 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3510.99, category=A
2026-01-29 17:56:57,259 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=4286.34, category=B
2026-01-29 17:56:57,286 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5333.46, category=C
2026-01-29 17:56:57,303 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3084.15, category=C
2026-01-29 17:56:57,419 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=6273.13, category=C
2026-01-29 17:56:57,598 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=5057.08, category=C
2026-01-29 17:56:57,795 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=3878.09, category=A
